Zeilen-Nr.;FLIK;Nationalität;Bundesland;Gemarkungsnummer;Flur-Nr.;Flurstücks-Nr.;Unter-Nr.;Katasterfläche;Los-Nr.;NC-Vorjahr;Nutzfl. ohne LE - VJ;Fläche d. LE - VJ;Nutzfl. ggf. m. LE - VJ;Stilllegungsfähigkeit;Pflegemangel AZW/EAP;Schlag-Nr. VJ;Schlagnummer;Skizze;Nutzfläche ohne LE;Fläche der LE;Kulturart;Code der Kultur;Dauergrünlandstatus;Aktivierung von Zahlungsansprüchen ;Verpächter ;Gekoppelte Maßnahmen ;NAWARO Vertragsnummer;Tabak-Nr.;Code für Hopfensorte;Datum der Erstaufforstung ;Cross Compliance;Beantragung LPR;Meka1;Meka2;Meka3;Meka4;Meka5;Meka6;Meka7;Anmeldung Herbstmulchsaat;Beantragung SchALVO;AZW/EAP-Besitzart;Schlagname;
1;;D;08;8821;;484;2;3,8197;;115;2,07;;;ST;;14;14;X;2,07;;WITRITIC;156;;1;;;;;;;N;;;;;;;;;;;;Schlag14;
2;;D;08;8821;;484;2;3,8197;;451;1,11;;;;;15;15;X;1,11;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag15;
3;;D;08;8821;;487;;1,044;;156;1,04;;;ST;;16;16;;1,04;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag16;
4;;D;08;8850;;129;;4,4061;;451;2,66;;;;;17;17;X;2,66;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag17;
5;;D;08;8850;;138;;1,2473;;451;1,24;;;;;18;18;;1,24;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag18;
6;;D;08;8850;;650;2;1,1925;;451;0,85;;;;;19;19;X;0,85;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag19;
7;;D;08;8850;;1061;3;10,6264;;451;1,86;;;;;19;19;X;1,86;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag19;
8;;D;08;8850;;1061;3;10,6264;;451;0,99;;;;;19;19;X;0,99;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag19;
9;;D;08;8850;;1061;3;10,6264;;451;1,54;;;;;19;19;X;1,54;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag19;
10;;D;08;8850;;1061;3;10,6264;;451;1,42;;;;;20;20;X;1,42;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag20;
11;;D;08;8850;;1061;3;10,6264;;422;1,48;;;ST;;21;21;X;1,48;;WEIZEN;115;;1;;;;;;;N;;;;;;;;;;;;Schlag21;
12;;D;08;8850;;1061;3;10,6264;;156;1,88;;;ST;;22;22;X;1,88;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag22;
13;;D;08;8850;;1062;1;1,2804;;451;0,37;;;;;23;23;X;0,37;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag23;
14;;D;08;8850;;1064;2;2,364;;451;0,84;;;;;24;24;X;0,84;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag24;
15;;D;08;8850;;1081;12;2,1759;;422;0,95;;;ST;;25;25;X;0,95;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag25;
16;;D;08;8950;;964;;1,0511;;115;1,05;;;ST;;1;1;;1,05;;WITRITIC;156;;1;;;;;;;N;;;;;;;;;;;;Schlag1;
17;;D;08;8950;;965;;0,7161;;115;0,72;;;ST;;1;1;;0,72;;WITRITIC;156;;1;;;;;;;N;;;;;;;;;;;;Schlag1;
18;;D;08;8950;;967;;2,9264;;422;2,93;;;ST;;2;2;;2,93;;WEIZEN;115;;1;;;;;;;N;;;;;;;;;;;;Schlag2;
19;;D;08;8950;;971;;0,8409;;156;0,84;;;ST;;3;3;;0,84;;KLEEGRAS;422;;1;;T;;;;;N;;;;;;;;;;;;Schlag3;
20;;D;08;8950;;974;;0,0526;;924;0,05;;;;;4;4;;0,05;;BIOLAWNU;924;;;;;;;;;N;;;;;;;;;;;;Schlag4;
21;;D;08;8950;;976;;0,3744;;451;0,37;;;ST;;5;5;;0,37;;WIESEN;451;;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
22;;D;08;8950;;978;;0,7524;;451;0,75;;;;;5;5;;0,75;;WIESEN;451;D;1;;T;;;;;N;;31;;;;;;;;;;Schlag5;
